Filename,Predictions
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,6
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,13
2,2
2,2
2,2
3,3
3,2
3,3
3,3
3,16
3,3
3,7
3,3
3,3
3,3
4,4
4,4
4,24
4,7
4,4
4,3
4,4
4,29
4,4
4,22
5,5
5,7
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,10
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
14,14
14,14
14,14
14,14
14,14
14,14
14,12
14,14
14,14
14,14
15,15
15,15
15,15
15,17
15,7
15,15
15,15
15,15
15,15
15,15
16,16
16,16
16,10
16,16
16,16
16,16
16,16
16,16
16,16
16,16
17,17
17,17
17,17
17,17
17,17
17,18
17,5
17,17
17,17
17,17
18,18
18,18
18,18
18,18
18,18
18,18
18,7
18,18
18,18
18,18
19,19
19,19
19,19
19,19
19,19
19,19
19,19
19,19
19,19
19,19
20,20
20,20
20,3
20,20
20,20
20,20
20,20
20,3
20,20
20,20
21,27
21,21
21,21
21,4
21,3
21,21
21,10
21,21
21,24
21,21
22,22
22,22
22,22
22,19
22,22
22,22
22,22
22,22
22,22
22,22
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
24,24
24,24
24,24
24,24
24,24
24,3
24,10
24,24
24,24
24,24
25,29
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
27,27
27,27
27,27
27,27
27,28
27,27
27,27
27,27
27,27
27,27
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,28
29,29
29,29
29,29
29,29
29,29
29,29
29,29
29,29
29,29
29,29
30,30
30,11
30,30
30,30
30,30
30,23
30,30
30,30
30,30
30,25
